,id,epoch,sat_id,x,y,z,Vx,Vy,Vz,x_sim,y_sim,z_sim,Vx_sim,Vy_sim,Vz_sim
958,1819,2014-01-01T00:00:00.000,1,10390.3130889951,-2796.458270761604,3179.56208502776,2.520477351302786,6.149930428521791,-2.827598506298808,10405.81375511932,-2771.180759844273,3166.9263024196002,2.5088794230298426,6.152996166211535,-2.826227315921204
959,1820,2014-01-01T00:21:11.845,1,11195.6068329747,5078.653967927238,-839.0765929087958,-1.126667096367259,5.826412382679976,-3.2558717987109764,11199.853335786003,5102.405254850029,-845.9303626993245,-1.1309916044757318,5.82230282921672,-3.250049080308893
960,1821,2014-01-01T00:42:23.690,1,8235.556436201194,11445.90426296823,-4680.514023009572,-3.230227349208076,4.12643261277169,-2.7044405118672983,8239.504003791439,11465.13735008832,-4680.291877222277,-3.2273562372946745,4.123931346322066,-2.7002545948087042
961,1822,2014-01-01T01:03:35.534,1,3560.1497764861797,15634.195146432241,-7654.177182047339,-3.9646962396974255,2.520867232335922,-1.97815126713526,3569.107805399502,15652.0502707541,-7650.341206718634,-3.9602150982016298,2.5209074500272046,-1.97672276307252
962,1823,2014-01-01T01:24:47.379,1,-1580.4768912471634,18023.318335106283,-9755.287598527935,-4.050864897701192,1.2963875299922971,-1.346511703576085,-1566.2536522129249,18042.14333999479,-9750.982621186873,-4.047004932691286,1.29762511132195,-1.3470098852243608
963,1824,2014-01-01T01:45:59.224,1,-6627.5080550636485,19063.9797541207,-11129.885444391779,-3.855673875181425,0.3837928663564868,-0.8332028951667725,-6609.32962095201,19084.539469195406,-11127.03467367446,-3.8529270857848883,0.3852151017431371,-0.8348320947738457
964,1825,2014-01-01T02:07:11.069,1,-11335.577213995459,19092.921498896398,-11915.30936663641,-3.533874463045661,-0.3076173450609849,-0.4157686042448853,-11314.922735604276,19114.979308603404,-11914.922812012504,-3.532168632700761,-0.30657683111919226,-0.4179973343883265
965,1826,2014-01-01T02:28:22.914,1,-15591.32054852613,18347.53089413776,-12218.150271067549,-3.151348810972917,-0.8425199054325259,-0.07090783841608805,-15569.425218223509,18370.322676747408,-12220.661190596775,-3.1504645487217258,-0.8421581919041518,-0.0733966383860753
966,1827,2014-01-01T02:49:34.758,1,-19338.32606050444,16998.03748953899,-12118.927652346787,-2.736936003766147,-1.263184123916674,0.2189360728179329,-19316.091498751146,17020.5402854306,-12124.410329208557,-2.7366285169648608,-1.2636451659964791,0.2164066605090401
967,1828,2014-01-01T03:10:46.603,1,-22545.09284899826,15171.080243365559,-11679.2653918554,-2.3030708333441816,-1.5969733648613809,0.4661483134272629,-22523.089490360493,15192.164478908006,-11687.568681980256,-2.303105039040061,-1.59831157250682,0.4637237739052489
